# Version 1.00
#
freq[Hz]	Trc3_S11[dB]	
1.000000000000000E+008	-4.563570907286254E+001	
1.345000000000000E+008	-4.265375465701144E+001	
1.690000000000000E+008	-3.935923569781207E+001	
2.035000000000000E+008	-4.620085701846175E+001	
2.380000000000000E+008	-4.562071403636086E+001	
2.725000000000000E+008	-4.923309769185845E+001	
3.070000000000000E+008	-4.017941213327028E+001	
3.415000000000000E+008	-4.128799760849400E+001	
3.760000000000000E+008	-4.060415963699092E+001	
4.105000000000000E+008	-4.925039205839515E+001	
4.450000000000000E+008	-3.873474853801317E+001	
4.795000000000000E+008	-4.174791632709644E+001	
5.140000000000000E+008	-5.821851242343496E+001	
5.485000000000000E+008	-3.926846680687956E+001	
5.830000000000000E+008	-4.608253043482113E+001	
6.175000000000000E+008	-3.865384639432079E+001	
6.520000000000000E+008	-4.693766733239792E+001	
6.865000000000000E+008	-4.728053888740612E+001	
7.210000000000000E+008	-5.058436743171481E+001	
7.555000000000000E+008	-4.035431552246213E+001	
7.900000000000000E+008	-4.040938313503992E+001	
8.245000000000000E+008	-4.207604657475005E+001	
8.590000000000000E+008	-4.264400489112502E+001	
8.935000000000000E+008	-4.535305514904744E+001	
9.280000000000000E+008	-5.423418422307065E+001	
9.625000000000000E+008	-3.510977079837488E+001	
9.970000000000000E+008	-4.130115339174468E+001	
1.031500000000000E+009	-3.384523810391880E+001	
1.066000000000000E+009	-3.993390341033763E+001	
1.100500000000000E+009	-4.986902898795265E+001	
1.135000000000000E+009	-4.127490110320017E+001	
1.169500000000000E+009	-4.144515758135053E+001	
1.204000000000000E+009	-3.938830927634260E+001	
1.238500000000000E+009	-3.463715480742150E+001	
1.273000000000000E+009	-4.801899942674177E+001	
1.307500000000000E+009	-4.603058330156890E+001	
1.342000000000000E+009	-4.844627186410757E+001	
1.376500000000000E+009	-4.201170623579016E+001	
1.411000000000000E+009	-4.237537928705218E+001	
1.445500000000000E+009	-3.789800653066484E+001	
1.480000000000000E+009	-4.700137139408915E+001	
