# Version 1.00
#
freq[Hz]	mag:Trc3_S11	ang:Trc3_S11	
1.000000000000000E+008	4.060501781722174E-003	4.122989802344867E+001	
1.345000000000000E+008	5.724845393629103E-003	3.623395424709858E+001	
1.690000000000000E+008	1.093977259198800E-002	-8.810201018697542E+001	
2.035000000000000E+008	6.061651508950897E-003	-1.281492591436770E+002	
2.380000000000000E+008	6.044977594301555E-003	-1.654600135839212E+002	
2.725000000000000E+008	3.074891424622225E-003	-1.512251886466886E+002	
3.070000000000000E+008	1.046709619788545E-002	1.553024783000571E+001	
3.415000000000000E+008	9.218716622982532E-003	1.195395299339022E+001	
3.760000000000000E+008	9.390462235208674E-003	-8.259656187098840E+001	
4.105000000000000E+008	3.414979485270228E-003	-8.827911577919880E+001	
4.450000000000000E+008	1.134143711329348E-002	-8.480205075094123E+001	
4.795000000000000E+008	8.339195267133013E-003	1.464311611033236E+002	
5.140000000000000E+008	1.064548481142691E-003	-8.702890328758134E+001	
5.485000000000000E+008	1.088149279259523E-002	-3.648493822407137E+001	
5.830000000000000E+008	5.028926814598033E-003	-4.989142799011732E+001	
6.175000000000000E+008	1.168494853464741E-002	-1.413593950464911E+002	
6.520000000000000E+008	4.320862417110678E-003	-7.298783866337378E+001	
6.865000000000000E+008	4.497148241457614E-003	6.418947006884730E+001	
7.210000000000000E+008	2.763821351453628E-003	6.670495154913850E+001	
7.555000000000000E+008	9.472526776493758E-003	-1.038142698396367E+002	
7.900000000000000E+008	9.235864914666015E-003	-1.509301313118941E+002	
8.245000000000000E+008	7.966029350414414E-003	3.695567195200650E+001	
8.590000000000000E+008	7.455144285243727E-003	-8.644619111473720E+001	
8.935000000000000E+008	5.131778965898001E-003	-4.523740265533795E+001	
9.280000000000000E+008	1.980456640610656E-003	3.474771302029419E+001	
9.625000000000000E+008	1.750203763393686E-002	-1.508963962865167E+002	
9.970000000000000E+008	8.639438259492236E-003	-1.530576817860003E+002	
1.031500000000000E+009	2.026125647284482E-002	1.714104411282154E+002	
1.066000000000000E+009	1.002910385650622E-002	1.315202603901676E+002	
1.100500000000000E+009	2.963285699361210E-003	-9.034978337468817E+001	
1.135000000000000E+009	8.861758643071458E-003	-9.471649225841158E+001	
1.169500000000000E+009	8.375858050169114E-003	-1.333303343211871E+002	
1.204000000000000E+009	1.046460895810432E-002	-1.579044483732387E+002	
1.238500000000000E+009	1.860507999871440E-002	1.701708018335387E+002	
1.273000000000000E+009	3.893840676804235E-003	-1.207359973030540E+002	
1.307500000000000E+009	5.073751327009623E-003	1.475456827120141E+001	
1.342000000000000E+009	3.778925364020561E-003	1.758601096114154E+002	
1.376500000000000E+009	7.843959442644325E-003	-1.301398927038901E+002	
1.411000000000000E+009	7.479724152495115E-003	-5.911773935144542E+001	
1.445500000000000E+009	1.264238526489798E-002	-7.918914143559657E+001	
1.480000000000000E+009	4.399511093110055E-003	-7.463624026484123E+001	
1.514500000000000E+009	6.489177262661587E-003	-8.779256827977223E+001	
1.549000000000000E+009	8.086804752360647E-003	1.356915821358833E+002	
1.583500000000000E+009	8.957451871776660E-003	1.353205774949900E+002	
1.618000000000000E+009	4.556107554578729E-003	1.404758865992820E+002	
1.652500000000000E+009	1.293072718760368E-002	1.501477088593205E+002	
1.687000000000000E+009	5.624701416125835E-003	1.299188962504874E+002	
1.721500000000000E+009	1.371186490413072E-002	-1.451357564294936E+002	
1.756000000000000E+009	9.916529054944048E-003	1.623808443765012E+002	
1.790500000000000E+009	1.101184802096346E-002	1.173883429730598E+002	
1.825000000000000E+009	4.765797478816023E-003	-9.192506221356992E+001	
1.859500000000000E+009	3.948154881043863E-003	6.280638844549542E+001	
1.894000000000000E+009	9.947309844995962E-003	-1.148808737484305E+002	
1.928500000000000E+009	6.067965995438622E-003	-1.287582305517872E+002	
1.963000000000000E+009	1.776725183344478E-002	-4.450414180747817E+001	
1.997500000000000E+009	1.253569979314281E-002	-1.296089561798891E+002	
2.032000000000000E+009	5.531393812560763E-003	1.622992942317184E+002	
2.066500000000000E+009	1.120372711865125E-002	-1.750429201755460E+002	
2.101000000000000E+009	6.026930317642438E-003	-1.412941775403843E+002	
2.135500000000000E+009	7.977456506711974E-004	-1.446313802656298E+001	
2.170000000000000E+009	1.100214246116570E-002	1.790144815283301E+002	
2.204500000000000E+009	1.101966035612790E-002	1.576873903060187E+002	
2.239000000000000E+009	1.133622057588483E-002	9.941877720874250E+001	
2.273500000000000E+009	1.057153010217156E-002	1.273679849122466E+002	
2.308000000000000E+009	1.809152172493556E-002	-1.595974694835296E+002	
2.342500000000000E+009	1.844149954992775E-002	1.594303507706227E+002	
2.377000000000000E+009	5.278986290430045E-003	-6.268115273883024E+001	
2.411500000000000E+009	7.481173294270597E-003	-1.132113964343704E+002	
2.446000000000000E+009	8.205595907932699E-003	-1.395796650433173E+002	
2.480500000000000E+009	1.460708401770510E-002	-1.671515203943487E+002	
2.515000000000000E+009	1.141439275501526E-002	-1.547385547864873E+002	
2.549500000000000E+009	2.059013617422114E-002	-1.527865698755975E+002	
2.584000000000000E+009	1.328399746948568E-002	-1.464984265805024E+002	
2.618500000000000E+009	2.487345075232043E-002	-1.509143426185508E+002	
2.653000000000000E+009	1.019280468782578E-002	1.448682007663443E+002	
2.687500000000000E+009	1.931669309139191E-002	1.007463338103357E+002	
2.722000000000000E+009	3.883400711960838E-003	1.403207102480454E+001	
2.756500000000000E+009	1.253292336187379E-002	-1.450120743718859E+002	
2.791000000000000E+009	9.406303371466234E-003	1.390909015709240E+002	
2.825500000000000E+009	8.399889835495646E-003	-1.559156136332214E+002	
2.860000000000000E+009	1.802539048343550E-002	1.626719263893443E+002	
2.894500000000000E+009	9.207864228964788E-003	8.120259583510708E+001	
2.929000000000000E+009	1.237041920655655E-002	1.794574601936486E+002	
2.963500000000000E+009	1.279013316523440E-002	1.432236735779529E+002	
2.998000000000000E+009	1.584423045602321E-002	1.666540151535187E+002	
3.032500000000000E+009	1.647631592656545E-002	1.548468393855680E+002	
3.067000000000000E+009	2.236676275014520E-002	-1.644282887269810E+002	
3.101500000000000E+009	1.382574522853446E-002	1.298012041831776E+002	
3.136000000000000E+009	3.712391098329523E-002	1.655078945519176E+002	
3.170500000000000E+009	1.537500731632422E-002	-1.037076596206059E+002	
3.205000000000000E+009	9.466199385873172E-003	-1.766009165320910E+002	
3.239500000000000E+009	2.017335472802554E-002	7.969161668402690E+001	
3.274000000000000E+009	1.621333149789537E-002	-1.636411999100516E+002	
3.308500000000000E+009	8.498513035269844E-003	1.065681830756455E+002	
3.343000000000000E+009	1.070867097175010E-002	-1.292584106947714E+002	
3.377500000000000E+009	1.302394210311963E-002	-1.256398996975236E+002	
3.412000000000000E+009	1.208345377729125E-002	-1.231155196387190E+002	
3.446500000000000E+009	3.691562283258650E-002	1.724162023670245E+002	
3.481000000000000E+009	2.320645416954600E-002	1.081577169377413E+002	
3.515500000000000E+009	2.108773693726091E-002	1.342816380057269E+002	
3.550000000000000E+009	1.917507583138307E-002	1.014518986469982E+002	
3.584500000000000E+009	5.907820905820350E-003	1.157340090514921E+001	
3.619000000000000E+009	2.004559889057151E-002	-1.264927433233357E+002	
3.653500000000000E+009	2.154268721639236E-002	1.499626394893476E+002	
3.688000000000000E+009	6.678604020711877E-003	1.418402884424816E+002	
3.722500000000000E+009	2.813686248011835E-002	1.492594038218740E+002	
3.757000000000000E+009	1.802319454482746E-002	-1.798354748748715E+002	
3.791500000000000E+009	2.981786432115591E-002	1.794753966209509E+002	
3.826000000000000E+009	1.296848435759545E-002	-4.903082690831492E+000	
3.860500000000000E+009	2.254231272925985E-002	-1.301067427101637E+002	
3.895000000000000E+009	1.030747653275037E-002	1.542173500209503E+002	
3.929500000000000E+009	1.693074500315533E-002	-1.773599587493768E+002	
3.964000000000000E+009	1.893661977116760E-002	1.393920708175775E+002	
3.998500000000000E+009	1.061583769429229E-002	1.295370331394637E+002	
4.033000000000000E+009	3.709834770714959E-002	1.300382242248662E+002	
4.067500000000000E+009	5.810092899065977E-003	1.275385723996964E+002	
4.102000000000000E+009	1.703657178672993E-002	1.135239348552967E+002	
4.136500000000000E+009	5.030133910448974E-003	-1.123957368082240E+002	
4.171000000000000E+009	6.815175408501723E-003	1.053170172199759E+002	
4.205500000000000E+009	1.967203678140835E-002	-1.509021383471763E+002	
4.240000000000000E+009	3.936575377298009E-002	1.630446345782375E+002	
4.274500000000000E+009	1.783661768658711E-002	1.594032517370037E+002	
4.309000000000000E+009	3.756261558130843E-002	1.442359598941538E+002	
4.343500000000000E+009	2.391728247981679E-002	1.280111728490121E+002	
4.378000000000000E+009	2.753298781897376E-002	1.567944774229310E+002	
4.412500000000000E+009	1.280787999634919E-002	1.386227430678122E+002	
4.447000000000000E+009	3.043451889044934E-002	-1.577638876259557E+002	
4.481500000000000E+009	2.073848611526964E-002	1.062081548768458E+002	
4.516000000000000E+009	3.054815851151989E-002	1.582661117336199E+002	
4.550500000000000E+009	2.728352402845707E-002	1.490065203063962E+002	
4.585000000000000E+009	4.538577846870825E-002	1.105566991295782E+002	
4.619500000000000E+009	2.640946218311169E-002	1.700122435709580E+002	
4.654000000000000E+009	1.182746431535186E-002	9.673793596080645E+001	
4.688500000000000E+009	1.547579020852983E-002	1.161905424935429E+002	
4.723000000000000E+009	2.591970650873042E-002	1.056204549050270E+002	
4.757500000000000E+009	1.992485018723548E-002	4.505509929663941E+001	
