# Version 1.00
#
freq[Hz]	re:Trc3_S11	im:Trc3_S11	
1.000000000000000E+008	4.406343679875135E-003	3.638254711404443E-003	
1.345000000000000E+008	6.518446374684572E-003	4.198517650365830E-003	
1.690000000000000E+008	9.374417277285829E-005	-1.037209667265415E-002	
2.035000000000000E+008	-1.816636649891734E-003	-2.992445137351751E-003	
2.380000000000000E+008	-5.835144780576229E-003	-8.909496827982366E-004	
2.725000000000000E+008	-2.393470844253898E-003	-2.452573506161571E-003	
3.070000000000000E+008	9.872155264019966E-003	2.786946482956410E-003	
3.415000000000000E+008	8.923759683966637E-003	1.786040840670466E-003	
3.760000000000000E+008	1.220188103616238E-003	-9.548304602503777E-003	
4.105000000000000E+008	1.311024534516037E-004	-3.051149193197489E-003	
4.450000000000000E+008	1.369664096273482E-003	-1.153943687677383E-002	
4.795000000000000E+008	-6.884083617478609E-003	4.846249707043171E-003	
5.140000000000000E+008	1.808486704248935E-004	-7.891351124271751E-004	
5.485000000000000E+008	8.861015550792217E-003	-6.238648667931557E-003	
5.830000000000000E+008	3.661989932879806E-003	-4.080158192664385E-003	
6.175000000000000E+008	-8.893275633454323E-003	-7.024115417152643E-003	
6.520000000000000E+008	9.270717855542898E-004	-4.087102133780718E-003	
6.865000000000000E+008	1.714057172648609E-003	4.051605239510536E-003	
7.210000000000000E+008	1.575358095578849E-003	2.630596281960607E-003	
7.555000000000000E+008	-2.674005459994078E-003	-9.148628450930119E-003	
7.900000000000000E+008	-7.974294945597649E-003	-4.357826430350542E-003	
8.245000000000000E+008	6.407811772078276E-003	4.736564587801695E-003	
8.590000000000000E+008	5.947272293269634E-004	-7.391970138996840E-003	
8.935000000000000E+008	3.789253067225218E-003	-3.564246697351337E-003	
9.280000000000000E+008	1.568731619045138E-003	1.021479140035808E-003	
9.625000000000000E+008	-1.540913339704275E-002	-8.357416838407517E-003	
9.970000000000000E+008	-7.715702522546053E-003	-3.625121898949146E-003	
1.031500000000000E+009	-1.996817439794540E-002	2.911085030063987E-003	
1.066000000000000E+009	-6.484549492597580E-003	7.610213477164507E-003	
1.100500000000000E+009	-1.508254790678620E-004	-3.009218722581863E-003	
1.135000000000000E+009	-5.859115044586361E-004	-8.584267459809780E-003	
1.169500000000000E+009	-5.612290464341641E-003	-6.062254309654236E-003	
1.204000000000000E+009	-9.860147722065449E-003	-3.794825403019786E-003	
1.238500000000000E+009	-1.825419627130032E-002	3.220179816707969E-003	
1.273000000000000E+009	-2.080439357087016E-003	-3.228941466659308E-003	
1.307500000000000E+009	4.961485508829355E-003	1.228758716024458E-003	
1.342000000000000E+009	-3.858600510284305E-003	4.223960277158767E-004	
1.376500000000000E+009	-5.183941219002008E-003	-5.993070546537638E-003	
1.411000000000000E+009	3.922012634575367E-003	-6.258590146899223E-003	
1.445500000000000E+009	2.123917685821652E-003	-1.249428745359182E-002	
1.480000000000000E+009	9.432854712940753E-004	-4.243806004524231E-003	
1.514500000000000E+009	2.070237242151052E-004	-6.556817330420017E-003	
1.549000000000000E+009	-5.835979711264372E-003	5.612249951809645E-003	
1.583500000000000E+009	-6.339794024825096E-003	6.349503528326750E-003	
1.618000000000000E+009	-3.325257217511535E-003	2.711281646043062E-003	
1.652500000000000E+009	-1.112822722643614E-002	6.217584479600191E-003	
1.687000000000000E+009	-3.538630437105894E-003	4.206732846796513E-003	
1.721500000000000E+009	-1.121423766016960E-002	-7.897411473095417E-003	
1.756000000000000E+009	-9.582524187862873E-003	2.906915964558721E-003	
